"problem_id","input","output"
"1","8 [[6, 4], [2, 3], [1, 6], [4, 5], [1, 2], [1, 8], [3, 7], [7, 2]]","2"
"1","9 [[1, 2], [1, 3], [1, 4], [2, 5], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [5, 8]]","3"
"1","7 [[1, 2], [2, 3], [3, 4], [4, 5], [3, 6], [1, 7], [7, 4]]","1"
"1","5 [[1, 2], [2, 3], [3, 4], [4, 5]]","0"
"1","6 [[1, 2], [2, 6], [2, 4], [4, 3], [3, 2], [3, 5]]","1"
"2","4 [[1, 2, 5, 0], [2, 4, 5, 0], [1, 3, 5, 0], [3, 4, 5, 0]]","[-1]"
"2","5 [[1, 2, 10, 0], [2, 4, 8, 0], [1, 3, 9, 0], [3, 4, 9, 0], [3, 5, 10, 6], [2, 5, 10, 2], [4, 5, 2, 0]]","[5, 7]"
"2","4 [[1, 2, 10, 10], [2, 3, 10, 10], [3, 4, 10, 10]]","[1, 2, 3]"
"2","4 [[1, 2, 5, 0], [2, 4, 5, 0], [1, 3, 5, 0], [3, 4, 5, 0], [1, 4, 5, 5]]","[5]"
"3","[9, 9, 9, 9, 30]","0"
"3","[11, 6, 4, 11]","5"
"3","[1, 8, 5]","4"
"4","7 [[1, 0, 1], [1, 2, 3], [3, 1, 3], [1, 2, 0], [3, 1, 3], [1, 1, 5], [1, 5, 4], [3, 4, 5], [2, 2, 5], [3, 4, 5]]","[""No"", ""Yes"", ""Yes"", ""No""]"
"4","4 [[3, 2, 3], [1, 3, 2], [3, 2, 3], [1, 2, 0], [3, 0, 1], [2, 2, 0], [3, 2, 3], [3, 0, 2]]","[""No"", ""Yes"", ""No"", ""No"", ""Yes""]"
"6","[[4,5],[4,8],[10,14],[11,13],[5,12],[3,7],[1,4]]","3"
"7","2 3","20"
"8","3","10"
"8","2","3"
"9","[2, 2, 2, 2, 2] 6","[0, 2]"
"9","[1, 2, 3, 4, 5] 7","[2, 3]"
"9","[1, 1, 1, 2, 3, 4, 5] 5","[6, 6]"
"10","[[""science"", ""12:40"", ""50""], [""music"", ""12:20"", ""40""], [""history"", ""14:00"", ""30""], [""computer"", ""12:30"", ""100""]]","[""science"", ""history"", ""computer"", ""music""]"
"10","[[""korean"", ""11:40"", ""30""], [""english"", ""12:10"", ""20""], [""math"", ""12:30"", ""40""]]","[""korean"", ""english"", ""math""]"
"10","[[""aaa"", ""12:00"", ""20""], [""bbb"", ""12:10"", ""30""], [""ccc"", ""12:40"", ""10""]]","[""bbb"", ""ccc"", ""aaa""]"
"11","[1, 3, 2] [""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""diamond"", ""iron"", ""stone""]","12"
"11","[0, 1, 1] [""diamond"", ""diamond"", ""diamond"", ""diamond"", ""diamond"", ""iron"", ""iron"", ""iron"", ""iron"", ""iron"", ""diamond""]","50"
"12","["".D.R"", ""...."", "".G.."", ""...D""]","-1"
"12","[""...D..R"", "".D.G..."", ""....D.D"", ""D....D."", ""..D....""]","7"
"13","11 8 10 10 100 [0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1]","60"
"13","28 18 26 10 8 [0, 0, 1, 1, 1, 1, 1","40"
"13","-10 -5 5 5 1 [0, 0, 0, 0, 0, 1, 0]","25"
"13","11 8 10 10 1 [0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1]","20"
"14","10 10 3 7 [[7, 7], [2, 7], [7, 3]]","[52, 37, 116]"
"15","[2, 3, -6, 1, 3, -1, 2, 4]","10"
"16","[""SOOOL"",""XXXXO"",""OOOOO"",""OXXXX"",""OOOOE""]","16"
"16","[""LOOXS"",""OOOOX"",""OOOOO"",""OOOOO"",""EOOOO""]","-1"
"17","[[""15:00"", ""17:00""], [""16:40"", ""18:20""], [""14:20"", ""15:20""], [""14:10"", ""19:20""], [""18:20"", ""21:20""]]","3"
"17","[[""10:20"", ""12:30""], [""10:20"", ""12:30""], [""10:20"", ""12:30""]]","3"
"17","[[""09:10"", ""10:10""], [""10:20"", ""12:20""]]","1"
"18","[""XXX"",""XXX"",""XXX""]","[-1]"
"18","[""X591X"",""X1X5X"",""X231X"", ""1XXX1""]","[1, 1, 27]"
"19","[9, 1, 5, 3, 6, 2]","[-1, 5, 6, 6, -1, -1]"
"19","[2, 3, 3, 5]","[3, 5, 5, -1]"
"20","3 5 [[10, 60, 1], [15, 100, 3], [20, 30, 1], [30, 50, 3], [50, 40, 1], [60, 30, 2], [65, 30, 1], [70, 100, 2]]","25"
"20","2 3 [[5, 55, 2], [10, 90, 2], [20, 40, 2], [50, 45, 2], [100, 50, 2]]","90"
"21","2 5 4","-1"
"21","10 40 5","2"
"21","10 40 30","1"
"22","[100,180,360,100,270]","4"
"23","[[2,2],[1,4],[3,2],[3,2],[2,1]]","4"
"24","4 5 [1, 0, 3, 1, 2] [0, 3, 0, 4, 0]","16"
"24","2 7 [1, 0, 2, 0, 1, 0, 2] [0, 2, 0, 1, 0, 2, 0]","30"
"25","[[40, 2900], [23, 10000], [11, 5200], [5, 5900], [40, 3100], [27, 9200], [32, 6900]] [1300, 1500, 1600, 4900]","[4, 13860]"
"25","[[40, 10000], [25, 10000]] [7000, 9000]","[1, 5400]"
"26","[7, 42, 5]","[1, 1, 0]"
"26","[63, 111, 95]","[1, 1, 0]"
"28","3 4 2 3 3 1 5","dllrl"
"28","3 3 1 2 3 3 4","impossible"
"28","2 2 1 1 2 2 2","dr"
"29","[[2, 4], [1, 2], [6, 8], [1, 3], [5, 7], [2, 5], [3, 6], [6, 10], [6, 9]] [0, 0, 0, 3, 0, 0, 5, 1, 2, 3]","[1, 1, 2, 2, 2, 3, 3]"
"29","[[1, 3], [1, 2]] [0, 7, 1]","[-1]"
"29","[[1, 2], [1, 3]] [0, 7, 3]","[1, 1, 3, 2, 3]"
"30","2554","16"
"30","16","6"
"31","2 4 17","8"
"32","[[2,2,6],[1,5,10],[4,2,9],[3,8,3]] 2 2 3","4"
"33","7 3 [4, 2, 4, 5, 3, 3, 1]","5"
"33","2 4 [3, 3, 3, 3]","4"
"34","2 4","6"
"34","1 5","26"
"35","3 3","1"
